jogo	lancamento	desenvolvedor	editora	plataforma	categoria	genero	conquistas	avPositivas	avNegativas	mediajogo	preco
Act of War: Direct Action	2008-03-12	Eugen Systems	THQ Nordic	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	180	33	0	10,99 
Alien Swarm	2010-07-19	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	66	17435	941	83	0,00 
Alpha Prime	2007-11-07	Black Element	Bohemia Interactive	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	610	523	0	15,99 
Amazing Adventures Around the World	2009-04-15	SpinTop Games	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	23	7	0	21,99 
Amazing Adventures The Lost Tomb™	2007-12-13	SpinTop Games	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	21	8	0	21,99 
ARMA: Combat Operations	2008-03-12	Bohemia Interactive	Bohemia Interactive	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	145	77	0	25,99 
Arx Fatalis	2007-04-03	Arkane Studios	Arkane Studios	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	RPG	0	671	106	21	15,99 
Bloody Good Time	2010-10-29	Outerlight Ltd.	Ubisoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	12	662	204	193	21,99 
Call of Duty: United Offensive	2006-10-13	Gray Matter Studios	Activision	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	490	97	0	76,99 
Call of Duty®	2006-10-13	Infinity Ward	Activision	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	1555	117	849	76,99 
Call of Duty® 2	2006-10-13	"Infinity Ward;Aspyr (Mac)"	"Activision;Aspyr (Mac)"	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	2434	236	1041	76,99 
Call of Juarez™	2007-11-08	Techland	Techland Publishing	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	793	198	60	8,99 
Counter-Strike	2000-11-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	124534	3339	317	36,99 
Counter-Strike: Condition Zero	2004-03-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	12120	1439	43	36,99 
Counter-Strike: Global Offensive	2012-08-21	"Valve;Hidden Path Entertainment"	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Free to Play"	167	2644404	402313	6502	0,00 
Counter-Strike: Source	2004-11-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	147	76640	3497	400	36,99 
Dangerous Waters	2006-02-07	Sonalysts	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	140	44	0	22,99 
Dark Messiah of Might & Magic	2006-10-25	Arkane Studios	Ubisoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;RPG"	0	4386	316	700	25,99 
Darwinia	2005-07-14	Introversion Software	Introversion Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Indie;Strategy"	0	472	158	273	36,99 
Day of Defeat	2003-05-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	3416	398	34	20,99 
Day of Defeat: Source	2010-07-12	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	54	10489	1210	134	36,99 
Deathmatch Classic	2001-06-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	1273	267	184	20,36 
DEFCON	2006-09-29	Introversion Software	Introversion Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Indie;Strategy"	22	2057	344	119	36,99 
Disciples II: Gallean's Return	2006-07-06	Strategy First	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	490	152	12	25,99 
Disciples II: Rise of the Elves	2006-07-06	Strategy First	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	451	108	0	25,99 
DOOM II	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	2517	182	78	20,36 
Dota 2	2013-07-09	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Free to Play;Strategy"	0	863507	142079	801	0,00 
Earth 2160	2006-04-01	Reality Pump Studios	"Topware Interactive;ACE"	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	498	238	414	20,99 
Final DOOM	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	573	82	114	20,99 
FlatOut 2™	2006-12-21	Bugbear Entertainment	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Racing	0	5438	343	351	25,99 
Fleet Command	2006-10-26	Sonalysts	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	127	31	0	117,08 
Genesis Rising	2007-08-06	Metamorf	THQ Nordic	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	30	94	0	25,99 
Gumboy - Crazy Adventures™	2006-12-19	CINEMAX, s.r.o.	CINEMAX, s.r.o.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Casual;Indie"	0	52	46	0	0,00 
GUN™	2006-10-13	Neversoft	Activision	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	740	87	889	50,90 
Half-Life	1998-11-08	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	27755	1100	83	36,99 
Half-Life 2	2004-11-16	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	33	67902	2419	402	36,99 
Half-Life 2: Deathmatch	2004-11-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	6020	787	32	20,99 
Half-Life 2: Episode One	2006-06-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	13	7908	517	184	25,99 
Half-Life 2: Episode Two	2007-10-10	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	22	13902	696	301	25,99 
Half-Life 2: Lost Coast	2005-10-27	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	5783	1020	29	0,00 
Half-Life Deathmatch: Source	2006-05-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	1362	473	81	0,00 
Half-Life: Blue Shift	2001-06-01	Gearbox Software	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	3822	420	205	20,99 
Half-Life: Opposing Force	1999-11-01	Gearbox Software	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	5250	288	415	20,99 
Half-Life: Source	2004-06-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	3767	1053	214	0,00 
Heavy Weapon Deluxe	2006-08-30	PopCap Games, Inc.	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	71	28	0	21,99 
Heretic: Shadow of the Serpent Riders	2007-08-03	Raven Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	417	29	0	15,99 
HeXen: Beyond Heretic	2007-08-03	Raven Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	249	26	50	15,99 
HeXen: Deathkings of the Dark Citadel	2007-08-03	Raven Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	57	20	0	15,99 
Iron Warriors: T - 72 Tank Command	2006-07-26	Strategy First	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	137	102	0	20,36 
Killing Floor	2009-05-14	Tripwire Interactive	Tripwire Interactive	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	285	53710	2649	306	76,35 
King's Bounty: Armored Princess	2009-11-19	Katauri Interactive	1C Entertainment	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"RPG;Strategy"	0	482	53	1429	36,99 
Left 4 Dead	2008-11-17	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	73	17951	948	278	36,99 
Left 4 Dead 2	2009-11-19	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	70	251789	8418	566	36,99 
Men of War: Red Tide	2009-11-01	1C Entertainment	"1C Entertainment;1C-SoftClub"	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	294	69	0	20,99 
Multiwinia	2008-09-19	Introversion Software	Introversion Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Indie	12	368	75	224	36,99 
Mystery P.I.™ - The Lottery Ticket	2007-10-16	SpinTop Games	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	10	3	0	21,99 
Mystery P.I.™ - The Vegas Heist	2008-06-05	SpinTop Games	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	11	5	0	21,99 
Painkiller Overdose	2007-10-30	Mindware Studios	THQ Nordic	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	429	137	270	21,99 
Peggle Deluxe	2007-03-06	PopCap Games, Inc.	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	1106	66	254	21,99 
Peggle Extreme	2007-09-11	PopCap Games, Inc.	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	707	58	1	0,00 
Portal	2007-10-10	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	15	51801	1080	137	36,99 
Portal 2	2011-04-18	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Adventure"	51	138220	1891	520	36,99 
QUAKE	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	2618	136	189	20,99 
QUAKE II	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	1369	107	349	20,99 
QUAKE II Mission Pack: Ground Zero	2007-08-03	Rogue Entertainment	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	54	33	1	11,99 
QUAKE II Mission Pack: The Reckoning	2007-08-03	Xatrix Entertainment	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	65	12	32	11,99 
Quake III Arena	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	1362	66	103	66,17 
QUAKE III: Team Arena	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	108	31	0	66,99 
Quake IV	2011-08-04	RavenSoft / id Software	Bethesda Softworks	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	891	171	32	66,99 
Rag Doll Kung Fu	2005-10-12	Mark Healey	Mark Healey	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Indie	0	40	17	0	35,99 
Red Orchestra: Ostfront 41-45	2006-03-14	Tripwire Interactive	Tripwire Interactive	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	44	1562	223	258	20,99 
Ricochet	2000-11-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	2758	684	10	20,99 
Safecracker: The Ultimate Puzzle Adventure	2007-08-29	Kheops Studio	HandyGames	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Adventure;Casual"	0	256	172	1	25,99 
Shadowgrounds	2006-05-08	Frozenbyte	Frozenbyte	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	973	248	258	20,99 
SiN Episodes: Emergence	2006-05-10	Ritual Entertainment	Ritual Entertainment	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	468	61	0	36,99 
Source Filmmaker	2012-07-10	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Animation & Modeling;Video Production"	0	15083	1111	77	0,00 
Space Empires IV Deluxe	2006-02-07	Malfador Machinations	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	112	26	0	35,99 
Space Empires V	2006-10-16	Malfador Machinations	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	191	85	35	55,99 
Sub Command	2006-10-26	Sonalysts	Strategy First	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	33	14	0	117,99 
Team Fortress 2	2007-10-10	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Free to Play"	520	515879	34036	623	0,00 
Team Fortress Classic	1999-04-01	Valve	Valve	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	3318	633	62	20,99 
The Ship: Murder Party	2006-07-11	Outerlight Ltd.	Blazing Griffin Ltd.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Indie;RPG"	0	4819	792	239	0,00 
ThreadSpace: Hyperbol	2007-07-12	Iocaine Studios	Atari	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Indie;Strategy"	0	31	9	0	20,99 
Two Worlds Epic Edition	2009-04-30	Reality Pump Studios	Topware Interactive	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	RPG	0	2656	1055	422	35,99 
Ultimate Doom	2007-08-03	id Software	id Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	3705	257	179	20,99 
Uplink	2006-08-23	Introversion Software	Introversion Software	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Indie;Strategy"	0	1602	152	77	35,99 
Vampire: The Masquerade - Bloodlines	2007-03-22	Troika Games	Activision	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	6161	362	202	76,99 
Venice Deluxe	2007-06-25	Retro64, Inc.	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	10	2	0	21,99 
Wolfenstein 3D	2007-08-03	id Software	Bethesda-Softworks	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Action	0	1773	87	110	15,99 
X Rebirth	2013-11-15	Egosoft	Egosoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Simulation"	69	2832	4032	3386	127,99 
X: Beyond the Frontier	2010-10-08	Egosoft	Egosoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Simulation;Strategy"	0	142	48	648	17,99 
X: Tension	2010-10-08	Egosoft	Egosoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Simulation;Strategy"	0	57	18	13	17,99 
X2: The Threat	2006-07-21	Egosoft	Egosoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	212	50	732	25,99 
X3: Reunion	2006-07-21	Egosoft	Egosoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Strategy	0	282	113	1232	50,99 
X3: Terran Conflict	2008-10-16	Egosoft	Egosoft	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	"Action;Simulation;Strategy"	33	1633	272	1273	81,99 
Xpand Rally	2006-08-24	Techland	Techland	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Racing	0	139	39	939	20,99 
Xpand Rally Xtreme	2008-10-08	Techland	Techland	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Racing	0	71	36	0	20,99 
Zuma Deluxe	2006-08-30	PopCap Games, Inc.	PopCap Games, Inc.	windows,mac,linux	Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled	Casual	0	437	37	267	21,99 
